date,XON,PG,PFE,WMT,INTC
19920430,0.09589,0.015159,0.028777,-0.018779,-0.031674
19920529,0.022417,-0.004843,0.048881,0.014354,-0.065421
19920630,0.020619,-0.104623,-0.021776,0.015142,0.14
19920731,0.026263,0.106522,0.07363,0.039535,0.048246
19920831,0.02315,-0.074074,-0.009633,0.022371,-0.029289
19920930,-0.005837,0.053333,-0.032362,0.03593,0.133621
19921030,-0.041096,0.076456,0.011706,0.029598,0.028137
19921130,-0.016816,0.026005,0.03795,0.057495,0.059259
19921231,0.027311,-0.011521,-0.072,-0.00501,0.216783
19930129,0,-0.067133,-0.089655,0.017578,0.228161
19930226,0.052679,0.045226,-0.109167,-0.001919,0.091335
19930331,0.039293,-0.040865,0.066381,-0.022077,-0.012876
19930430,-0.00189,-0.009524,0.096386,-0.15748,-0.171957
19930528,0.003333,0,0.057436,0.042056,0.165572
19930630,0.009542,0.058524,-0.066202,-0.05713,-0.007892
19930730,-0.007561,-0.056538,-0.11194,-0.033333,-0.049091
19930831,0.007162,-0.007692,0.065882,0.016059,0.229665
19930930,0.001912,-0.018088,-0.055556,-0.043689,0.101167
19931029,-0.001908,0.148632,0.046218,0.071066,-0.1053
19931130,-0.02914,0.046083,0.07502,0.08654,-0.027668
19931231,0.005976,0.004405,0.037594,-0.126638,0.00813
19940131,0.053465,0.049298,-0.063406,0.06,0.053226
19940228,-0.013609,-0.033613,-0.095242,0.070755,0.05364
19940331,-0.030829,-0.069565,-0.068966,-0.086608,-0.018182
19940429,0,0.068879,0.092593,-0.024155,-0.095556
19940531,-0.016382,-0.008791,0.088475,-0.069307,0.02459
19940630,-0.071575,-0.053215,-0.009804,0.033723,-0.064
19940729,0.048458,0.051054,-0.017822,0.030928,0.013932
19940831,0.012101,0.091928,0.108387,-0.0133,0.109705
19940930,-0.033613,-0.020534,0.012821,-0.050761,-0.064639
19941031,0.093478,0.060377,0.072333,0.005348,0.011138
19941130,-0.027833,-0.005964,0.050185,-0.00883,0.016097
19941230,0.006211,-0.008,-0.001616,-0.086022,0.011881
19950131,0.028807,0.056048,0.058252,0.076471,0.087045
19950228,0.034,0.021113,0.021651,0.038251,0.14955
19950331,0.043053,-0.003759,0.033133,0.081053,0.064263
19950428,0.043152,0.06,0.010204,-0.073171,0.206892
19950531,0.03777,0.028623,0.023319,0.047368,0.096459
19950630,-0.010508,0,0.04539,0.077387,0.128062
19950731,0.026549,-0.036174,0.09905,-0.004673,0.027285
19950831,-0.041379,0.00726,-0.019556,-0.077934,-0.055769
19950929,0.050909,0.10991,0.081013,0.010204,-0.01833
19951031,0.057093,0.057143,0.074941,-0.126263,0.160415
19951130,0.022913,0.067901,0.015425,0.112139,-0.128801
19951229,0.048465,-0.040462,0.086207,-0.072917,-0.067762
19960131,-0.010786,0.016867,0.087302,-0.08427,-0.026002
19960229,0,-0.02381,-0.033942,0.042945,0.064781
19960329,0.025157,0.033537,0.020873,0.084824,-0.032944
19960430,0.042945,0.00177,0.024164,0.038043,0.191912
19960531,0.006353,0.039941,0.031579,0.08377,0.114391
19960628,0.025074,0.031294,0.008834,-0.017295,-0.027318
