date,sp500
20071101,-0.026073
20071102,0.00088
20071105,-0.004966
20071106,0.012033
20071107,-0.0286
20071108,-0.000801
20071109,-0.014318
20071112,-0.009815
20071113,0.029566
20071114,-0.006765
20071115,-0.012991
20071116,0.005201
20071119,-0.01735
20071120,0.004562
20071121,-0.01578
20071123,0.016915
20071126,-0.022845
20071127,0.014739
20071128,0.02887
20071129,0.00046
20071130,0.007727
20071203,-0.005862
20071204,-0.006331
20071205,0.01604
20071206,0.015108
20071207,-0.001808
20071210,0.007554
20071211,-0.025225
20071212,0.006178
20071213,0.001339
20071214,-0.01367
20071217,-0.014936
20071218,0.0063
20071219,-0.001252
20071220,0.005175
20071221,0.016818
20071224,0.00813
20071226,0.000699
20071227,-0.013925
20071228,0.0015
20071231,-0.006913
20080102,-0.014101
20080103,0.000023
20080104,-0.024441
20080107,0.003272
20080108,-0.017673
20080109,0.013316
20080110,0.007985
20080111,-0.013669
20080114,0.010698
20080115,-0.024854
20080116,-0.005303
20080117,-0.028556
20080118,-0.006033
20080122,-0.010822
20080123,0.021236
20080124,0.009971
20080125,-0.015847
20080128,0.017471
20080129,0.006035
20080130,-0.004937
20080131,0.015601
20080201,0.01363
20080204,-0.010493
20080205,-0.031705
20080206,-0.0073
20080207,0.008207
20080208,-0.004224
20080211,0.006014
20080212,0.007298
20080213,0.013864
20080214,-0.013526
20080215,0.000772
20080219,-0.000975
20080220,0.008411
20080221,-0.012441
20080222,0.007871
20080225,0.01377
20080226,0.007119
20080227,-0.000774
20080228,-0.008875
20080229,-0.026967
20080303,0.000476
20080304,-0.003317
20080305,0.00559
20080306,-0.021705
20080307,-0.008192
20080310,-0.015371
20080311,0.037144
20080312,-0.008509
20080313,0.005207
20080314,-0.020562
20080317,-0.009003
20080318,0.04222
20080319,-0.023939
20080320,0.024392
20080324,0.015094
20080325,0.002309
20080326,-0.008731
20080327,-0.011303
20080328,-0.00795
20080331,0.005616
20080401,0.035878
20080402,-0.001677
20080403,0.001268
20080404,0.000764
20080407,0.001513
20080408,-0.004715
20080409,-0.007899
20080410,0.004569
20080411,-0.020155
20080414,-0.0032
20080415,0.004797
20080416,0.022642
20080417,0.000673
20080418,0.017938
20080421,-0.001446
20080422,-0.008698
20080423,0.003079
20080424,0.006421
20080425,0.006095
20080428,-0.001158
20080429,-0.003706
20080430,-0.00407
20080501,0.017263
20080502,0.003031
20080505,-0.004496
20080506,0.007543
20080507,-0.017481
20080508,0.003668
20080509,-0.006376
20080512,0.011258
20080513,-0.000318
20080514,0.004261
20080515,0.010659
20080516,0.001171
20080519,0.000893
20080520,-0.009346
20080521,-0.016013
20080522,0.002939
20080523,-0.01303
20080527,0.006962
20080528,0.004128
20080529,0.00549
20080530,0.001511
20080602,-0.010524
20080603,-0.005598
20080604,0.000215
20080605,0.019662
20080606,-0.030672
20080609,0.000949
20080610,-0.002208
20080611,-0.016768
20080612,0.00361
20080613,0.014986
20080616,0.000115
20080617,-0.006799
20080618,-0.00968
20080619,0.004082
20080620,-0.01858
20080623,0.000075
20080624,-0.002678
20080625,0.006085
20080626,-0.028955
20080627,-0.003756
20080630,0.001151
20080701,0.004101
20080702,-0.017992
20080703,0.001075
20080707,-0.008093
20080708,0.017643
20080709,-0.022656
20080710,0.007102
20080711,-0.010979
20080714,-0.008835
20080715,-0.010527
20080716,0.025064
20080717,0.011809
20080718,-0.0001
20080721,-0.000662
20080722,0.013656
20080723,0.003982
20080724,-0.022927
20080725,0.004255
20080728,-0.018449
20080729,0.02349
20080730,0.016536
20080731,-0.01284
20080801,-0.005623
20080804,-0.008737
20080805,0.028818
20080806,0.00406
20080807,-0.018041
20080808,0.023915
20080811,0.007276
20080812,-0.011639
20080813,-0.00278
20080814,0.005535
